WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
53152,20100101,100,20091231,1700,2.302,-119.88,34.41,13.4,14.1,14.8,13.4,0,40,0,136,0,0,0,R,13.5,0,16,0,11.5,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,200,20091231,1800,2.302,-119.88,34.41,13.9,13.5,14,13,0,0,0,0,0,0,0,R,10.1,0,12.1,0,8.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,300,20091231,1900,2.302,-119.88,34.41,10.6,11.5,13.9,10.6,0,0,0,0,0,0,0,R,8,0,9.3,0,7.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,400,20091231,2000,2.302,-119.88,34.41,9.4,9.7,10.7,9.1,0,0,0,0,0,0,0,R,7.5,0,8.8,0,6.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,500,20091231,2100,2.302,-119.88,34.41,8.3,9,9.5,8.3,0,0,0,0,0,0,0,R,6.7,0,8.7,0,5.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,600,20091231,2200,2.302,-119.88,34.41,7.5,8,8.6,7.5,0,0,0,0,0,0,0,R,6.3,0,7.7,0,5.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,700,20091231,2300,2.302,-119.88,34.41,7.1,7.5,8,7.1,0,0,0,0,0,0,0,R,5.6,0,6.7,0,5,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,800,20100101,0,2.302,-119.88,34.41,6.9,7,7.4,6.5,0,0,0,0,0,0,0,R,5,0,6.4,0,4.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,900,20100101,100,2.302,-119.88,34.41,6.3,6.5,7.2,6.1,0,0,0,0,0,0,0,R,4.8,0,6,0,4.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1000,20100101,200,2.302,-119.88,34.41,6.3,6.2,6.9,5.8,0,0,0,0,0,0,0,R,4.5,0,5.7,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1100,20100101,300,2.302,-119.88,34.41,5.7,5.9,6.3,5.6,0,0,0,0,0,0,0,R,4.9,0,5.8,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1200,20100101,400,2.302,-119.88,34.41,6.2,6,6.2,5.7,0,0,0,0,0,0,0,R,5.2,0,6.4,0,4.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1300,20100101,500,2.302,-119.88,34.41,6.6,6.6,7,6.1,0,0,0,0,0,0,0,R,5.8,0,6.8,0,5.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1400,20100101,600,2.302,-119.88,34.41,6.5,6.8,7.3,6.4,0,0,0,0,0,0,0,R,5.7,0,6.5,0,5.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1500,20100101,700,2.302,-119.88,34.41,6.7,6.4,6.7,6.1,0,0,0,0,0,0,0,R,4.5,0,6.4,0,3.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1600,20100101,800,2.302,-119.88,34.41,8.4,6.7,8.4,5.8,0,55,0,179,0,0,0,R,5.6,0,9.3,0,3.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1700,20100101,900,2.302,-119.88,34.41,13.8,11.4,13.9,8.4,0.2,236,0,325,0,155,0,R,12.1,0,14.7,0,9.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1800,20100101,1000,2.302,-119.88,34.41,14.5,14.1,14.6,13.6,0,209,0,423,0,167,0,R,13.9,0,15.3,0,12.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,1900,20100101,1100,2.302,-119.88,34.41,14.9,15,15.5,14.5,0,231,0,294,0,191,0,R,15.4,0,17,0,14.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,2000,20100101,1200,2.302,-119.88,34.41,14.9,14.9,15.2,14.7,0,283,0,418,0,205,0,R,16.7,0,18.2,0,15.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,2100,20100101,1300,2.302,-119.88,34.41,14.4,14.6,14.9,14.4,0,260,0,361,0,201,0,R,16.6,0,18.4,0,15.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,2200,20100101,1400,2.302,-119.88,34.41,15.1,14.9,15.1,14.4,0,191,0,246,0,140,0,R,15.9,0,17.5,0,15.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100101,2300,20100101,1500,2.302,-119.88,34.41,15.5,15.3,15.6,15,0,165,0,228,0,128,0,R,15.8,0,17.5,0,15.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,0,20100101,1600,2.302,-119.88,34.41,14.4,14.7,15.5,14.4,0,86,0,165,0,28,0,R,14.5,0,16.4,0,13.5,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,100,20100101,1700,2.302,-119.88,34.41,13.7,14,14.4,13.5,0,14,0,33,0,0,0,R,12.6,0,14.7,0,11.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,200,20100101,1800,2.302,-119.88,34.41,11.8,12.3,13.7,11.6,0,0,0,0,0,0,0,R,9.9,0,11.9,0,7.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,300,20100101,1900,2.302,-119.88,34.41,10.1,10.5,11.8,9.6,0,0,0,0,0,0,0,R,7.2,0,8.5,0,5.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,400,20100101,2000,2.302,-119.88,34.41,8.3,8.8,10.1,8.3,0,0,0,0,0,0,0,R,6.6,0,7.7,0,5.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,500,20100101,2100,2.302,-119.88,34.41,11.1,10.5,11.5,8.3,0,0,0,0,0,0,0,R,6.4,0,7.5,0,5.7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,600,20100101,2200,2.302,-119.88,34.41,8.8,9.2,11.2,8.4,0,0,0,0,0,0,0,R,6.5,0,7.9,0,5.6,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,700,20100101,2300,2.302,-119.88,34.41,13.4,14.9,18.6,8.8,0.2,0,0,0,0,0,0,R,8.4,0,10.5,0,6.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53152,20100102,800,20100102,0,2.302,-119.88,34.41,15.5,13.4,15.5,11.6,0,0,0,0,0,0,0,R,8.1,0,10.6,0,7,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
