WBANNO,UTC_DATE,UTC_TIME,LST_DATE,LST_TIME,CRX_VN,LONGITUDE,LATITUDE,T_CALC,T_HR_AVG,T_MAX,T_MIN,P_CALC,SOLARAD,SOLARAD_FLAG,SOLARAD_MAX,SOLARAD_MAX_FLAG,SOLARAD_MIN,SOLARAD_MIN_FLAG,SUR_TEMP_TYPE,SUR_TEMP,SUR_TEMP_FLAG,SUR_TEMP_MAX,SUR_TEMP_MAX_FLAG,SUR_TEMP_MIN,SUR_TEMP_MIN_FLAG,RH_HR_AVG,RH_HR_AVG_FLAG,SOIL_MOISTURE_5,SOIL_MOISTURE_10,SOIL_MOISTURE_20,SOIL_MOISTURE_50,SOIL_MOISTURE_100,SOIL_TEMP_5,SOIL_TEMP_10,SOIL_TEMP_20,SOIL_TEMP_50,SOIL_TEMP_100
53154,20100101,100,20091231,1800,1.302,-114.19,32.84,15.7,16.7,17.9,15.6,0,26,0,111,0,0,0,R,14.4,0,17.4,0,12.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,200,20091231,1900,1.302,-114.19,32.84,14.2,14.8,15.7,14.2,0,0,0,0,0,0,0,R,11.1,0,12.4,0,10,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,300,20091231,2000,1.302,-114.19,32.84,12.4,13.3,14.2,12.4,0,0,0,0,0,0,0,R,9.1,0,10,0,8.2,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,400,20091231,2100,1.302,-114.19,32.84,12.1,11.6,12.4,11.2,0,0,0,0,0,0,0,R,6.9,0,8.1,0,6,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,500,20091231,2200,1.302,-114.19,32.84,11.2,11.3,12.4,10.6,0,0,0,0,0,0,0,R,5.5,0,6.5,0,4.9,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,600,20091231,2300,1.302,-114.19,32.84,10.6,10.7,11.4,10.4,0,0,0,0,0,0,0,R,4.6,0,4.9,0,4.3,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,700,20100101,0,1.302,-114.19,32.84,9.3,9.9,10.8,9.2,0,0,0,0,0,0,0,R,4.3,0,4.6,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,800,20100101,100,1.302,-114.19,32.84,9.5,9.7,9.9,9.2,0,0,0,0,0,0,0,R,4.5,0,4.7,0,4.1,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,900,20100101,200,1.302,-114.19,32.84,9.9,9.7,10,9,0,0,0,0,0,0,0,R,4.7,0,5,0,4.5,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1000,20100101,300,1.302,-114.19,32.84,10.1,10.3,10.5,10,0,0,0,0,0,0,0,R,4.9,0,5,0,4.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1100,20100101,400,1.302,-114.19,32.84,10.2,10.3,10.5,10.1,0,0,0,0,0,0,0,R,5.1,0,5.4,0,4.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1200,20100101,500,1.302,-114.19,32.84,9.5,9.9,10.3,9.5,0,0,0,0,0,0,0,R,5.1,0,5.4,0,4.8,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1300,20100101,600,1.302,-114.19,32.84,9.2,9.4,9.7,9.2,0,0,0,0,0,0,0,R,4.6,0,4.9,0,4.4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1400,20100101,700,1.302,-114.19,32.84,9.2,9.3,9.6,9.1,0,0,0,0,0,0,0,R,4.3,0,4.5,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1500,20100101,800,1.302,-114.19,32.84,9.2,9.4,9.7,9.2,0,9,0,56,0,0,0,R,4.2,0,4.6,0,4,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
53154,20100101,1600,20100101,900,1.302,-114.19,32.84,10.5,9.8,10.5,9.2,0,119,0,220,0,54,0,R,6.4,0,9,0,4.6,0,-9999,0,-99,-99,-99,-99,-99,-9999,-9999,-9999,-9999,-9999
