"U.S. Atlantic salmon imports, volume by selected sources (1,000 pounds)",,,,,,,,,,
"Product, country code, and name 1/",,,2012,2013,2014,2015,2016,2017,Jan-Oct 17,Jan-Oct 18
Total,3370.0,Chile,206177.46859596603,239624.13728824203,279026.080841214,284642.668442538,279459.15458227205,297806.17318981205,240739.83254840403,292814.78552298003
,1220.0,Canada,193026.18406843804,148546.552920444,104519.976002694,177549.755265414,189076.70516805002,172939.110227226,145440.064152684,145062.579955356
,4039.0,Norway,31781.837365866,40590.644870664,57896.010447912005,82113.675091434,82589.04230094,107216.039111202,85644.41690763,99797.611744656
,4091.0,Faroe Islands,25981.000685513998,33126.758198478,35606.032007238005,27215.015803794002,30948.646778028004,27906.008272632003,24207.752663010004,18859.269143106
,4120.0,United Kingdom,29726.679918978003,27594.424636128002,34070.338619099995,27232.489637766,20501.899925976002,32067.084587958,27315.58625019,24773.035380786
,5700.0,China (Mainland),12379.486048524,17784.659218536002,17046.280604429998,2148.296112522,412.489185444,1729.5546190860002,1406.1233439540001,1427.61399921
,4280.0,"Germany, Fed. Republic",,,3706.518532878,8404.043314842,10243.36826793,11605.701205098003,9841.373083206003,9538.916581782
,,Other countries,4771.73676772794,6744.597879978013,7538.667450426146,4956.212922822102,5922.448039115872,8352.761602499872,6753.004103664076,6786.337988304091
,,"Total
 ",503844.393451014,514011.77501247,539409.9045058921,614262.156591132,619153.754247756,659622.4328155139,541348.153052742,599060.1503161801
Fresh,1220.0,Canada,180784.14297388203,135263.372472522,98131.56346690202,165575.661724116,171731.574823788,157729.18935929402,132185.81936851202,130525.073206668
,4091.0,Faroe Islands,14461.195962780002,21143.985060365998,24255.40556754,20806.062804828,23221.497374333998,22170.642251814,19351.902952116,15263.497591776002
,4120.0,United Kingdom,19271.908242846002,19354.810848533998,23411.317533156,17781.160483422,14004.775274742002,27900.137364245995,23741.649275147996,21814.661937474004
,4039.0,Norway,4010.52708819,9958.601653434,13072.343627574,24390.559919250005,19740.037678326004,40791.86733447,31286.244954132002,40878.80660304
,3370.0,Chile,2621.734277778,3442.5591408180003,12206.041821918003,6511.0446345420005,8124.466380534001,10003.293750618,8242.830331092002,16160.699379384001
,6141.0,New Zealand,417.9720803580001,403.22977304400007,284.513082966,628.127672508,932.145046308,1615.41472428,1280.87435889,433.51025621400004
,4190.0,Ireland,607.0206214799999,630.934156314,386.97729965999997,432.11693511000004,482.64907597200005,508.767232806,473.70712914,337.22118574200005
,,Other countries,138.37530445188168,229.09990899602417,534.6098118899681,549.3851885340409,1050.4626998040185,1714.8872689199925,1064.9602940759796,2741.226994799974
,,"Total
 ",222312.87655176595,190426.593014028,172282.77221160597,236674.11936231007,239287.608353808,262434.199286448,217627.98866310602,228154.69715509797
Frozen,3370.0,Chile,1344.867921684,2946.924841266,4948.849485342,3633.1817820480005,6688.774646316002,5078.0910408479995,4179.758282154,4309.71633981
,4039.0,Norway,3225.86904906,2327.113002942,1555.660649592,2125.10128446,1320.2930002500002,932.1009538680001,771.1613432460001,753.2135155440001
,1220.0,Canada,256.476904992,313.847783298,104.902528626,73.089833166,10.593208709999999,104.501287422,76.95453553200001,337.30496137800003
,4120.0,United Kingdom,,12.429658836,209.690416908,218.34355825800003,203.151508056,158.792308794,151.737518394,115.15843017
,4099.0,Denmark,,,33.931337202,40.159394352,,,,
,4000.0,Iceland,,,,,,47.641881420000004,47.641881420000004,
,4190.0,Ireland,,,,,,40.073414094,40.073414094,27.394632972
,,Other countries,1.2345883200005119,3.880134720001479,0.0,21.999922937998235,-1.8189894035458565e-12,6.051687390002371,6.051687390001462,1.6711034760000985
,,"Total
 ",4828.448464056001,5604.195421062001,6853.034417669999,6111.875775221999,8222.812363332001,6367.252573836002,5273.378662230001,5544.45898335
Fillets 2/,3370.0,Chile,202210.866396504,233234.65330615803,261871.18953395402,274498.44202594797,264645.91355542204,282724.788398346,228317.24393515798,272344.369803786
,4039.0,Norway,24545.441228616,28304.930214288,43268.00617074601,55598.01388772401,61528.711622364,65492.070822864,53587.010610252,58165.59162607199
,1220.0,Canada,11985.564189564,12969.332664623998,6283.510007166,11901.003708132,17334.537135552,15105.419580509999,13177.29024864,14200.20178731
,4091.0,Faroe Islands,11519.804722734001,11982.773138112,11350.626439697999,6408.9529989659995,7727.149403694001,5733.414930348001,4853.898620424001,3595.77155133
,5700.0,China (Mainland),12379.486048524,17784.659218536002,17046.280604429998,2126.296189584,412.489185444,1729.5546190860002,1406.1233439540001,1427.61399921
,4120.0,United Kingdom,10454.771676132,8227.184128758,10449.330669036,9232.985596085999,6293.973143178,4008.154914918,3422.1994566480003,2843.215013142
,4280.0,"Germany, Fed. Republic",,,3398.4248129999996,7917.723543240001,10060.695493632,11547.283131342001,9784.458561654,9467.907911784001
,,Other countries,3607.134173118102,5477.453906904033,6606.729638585995,3792.7435039200354,3639.863991329912,4480.294557816,3898.5609506759793,3316.322485097975
,,"Total
 ",276703.06843519205,317980.98657738004,360274.09787661606,371476.16145360004,371643.33353061596,390820.98095523,318446.785727406,365360.994177732
"1/ Countries are ranked by the sum of their trade for all full years shown. The last two columns contain data for the previous and current year to date.
2/ Includes fresh and frozen fillets.
Source: U.S. Department of Commerce, Bureau of the Census.",,,,,,,,,,
,,,,,,,,,,
Date run: 12/7/2018 10:51:05 AM,,,,,,,,,,
