"U.S. shrimp imports, value by selected sources (1,000 U.S. dollars)",,,,,,,,,,
"Product, country code, and name 1/",,,2012,2013,2014,2015,2016,2017,Jan-Oct 17,Jan-Oct 18
Total,5330.0,India,575040.8150000001,1006751.975,1381822.361,1272837.672,1497518.8280000002,2170546.504,1763131.316,1824741.471
,5600.0,Indonesia,658820.362,909764.8430000001,1318700.714,1100224.307,1107770.785,1185911.325,964079.3409999999,1008651.707
,5490.0,Thailand,1201957.12,904872.9219999999,821170.7960000001,750809.785,825822.25,811536.118,654705.956,432935.37600000005
,5520.0,Vietnam,448083.04300000006,727997.503,1003873.4449999998,657683.2239999999,685041.606,633840.7079999999,515987.85699999996,506672.522
,3310.0,Ecuador,559904.774,656224.8219999999,901347.356,634893.427,584913.0810000001,574013.353,485953.586,453493.235
,2010.0,Mexico,256149.55299999996,263972.806,303179.02,320381.229,294795.815,337137.297,217820.897,178341.83800000002
,5700.0,China (Mainland),228413.61199999996,238626.031,271480.645,189314.833,233159.64200000005,334360.797,277554.661,272254.862
,,Other countries,535108.4859999996,569323.2470000004,706467.1920000007,508772.49099999946,477322.01300000027,496551.34199999925,401996.26699999906,395738.3089999985
,,"Total
 ",4463477.765,5277534.149,6708041.529,5434916.968,5706344.0200000005,6543897.443999999,5281229.880999999,5072829.319999999
Frozen,5330.0,India,536379.65,934336.5410000001,1272195.9810000001,1181472.865,1393516.796,1972320.361,1617019.358,1636609.037
,5600.0,Indonesia,568600.7470000001,771057.578,1101311.557,867116.625,903386.869,940915.7,764983.666,764449.9099999999
,3310.0,Ecuador,546516.435,639468.899,879800.6599999999,611667.851,571651.631,561850.3759999999,476950.21699999995,436740.998
,5490.0,Thailand,683797.79,463988.17,367104.02799999993,308487.163,437008.45,401852.10799999995,329534.328,182110.625
,5520.0,Vietnam,341726.96900000004,474391.30499999993,666436.556,397629.597,380760.26999999996,305318.207,258196.508,219493.762
,2010.0,Mexico,253594.13300000003,259545.61099999998,301203.658,315827.621,291195.79099999997,330452.006,212540.923,177008.32
,3330.0,Peru,61561.772999999994,88783.50600000001,124641.60899999998,83670.98399999998,82146.63200000001,89556.778,76148.757,77201.005
,,Other countries,493468.11800000025,492163.9690000005,580217.8710000003,385068.6320000007,400247.23699999973,461113.07799999975,372161.7840000009,369456.699
,,"Total
 ",3485645.615,4123735.5790000004,5292911.92,4150941.3380000005,4459913.676,5063378.614,4107535.541,3863070.3559999997
Fresh,5700.0,China (Mainland),3645.426,4293.827,4030.8639999999996,3835.631,3700.288,5803.634,4232.96,2690.121
,5330.0,India,14817.430999999999,1463.5439999999999,2070.197,1705.779,946.1209999999999,3149.63,1650.729,2423.213
,5490.0,Thailand,1942.1460000000002,1442.461,2153.045,3939.597,2350.041,2138.8869999999997,1619.65,2603.922
,3310.0,Ecuador,1866.7050000000004,2304.188,2196.578,3496.679,2161.745,1931.169,1797.943,1022.5160000000001
,1220.0,Canada,570.771,112.36900000000001,226.57600000000005,2714.951,3453.2290000000007,409.93899999999996,409.93899999999996,316.575
,5830.0,China (Taiwan),634.314,1125.8719999999998,1330.768,1455.667,971.9639999999999,575.811,575.811,1011.489
,2230.0,Costa Rica,1069.107,1260.125,583.023,675.925,608.3639999999999,662.433,590.645,356.897
,,Other countries,4474.603000000006,3629.1699999999983,3883.452000000001,4182.348000000002,4358.910999999996,2510.4010000000035,1891.3660000000018,1943.029999999997
,,"Total
 ",29020.503000000004,15631.556,16474.503,22006.577,18550.662999999997,17181.904000000002,12769.043000000001,12367.762999999999
Prepared 2/,5490.0,Thailand,516217.184,439442.291,451913.723,438383.0249999999,386463.759,407545.123,323551.978,248220.82900000003
,5520.0,Vietnam,106052.604,253587.91300000003,337086.58900000004,259857.566,303901.35799999995,328416.51,257685.358,286935.39900000003
,5600.0,Indonesia,89890.55600000001,138702.915,217357.46399999998,232216.019,203623.404,244995.62500000003,199095.67500000005,244198.597
,5700.0,China (Mainland),160335.73099999997,172163.629,203566.27300000002,155334.098,170168.341,224865.997,185453.984,186981.43800000002
,5330.0,India,23843.734,70951.89,107556.18299999999,89659.02799999999,103055.91100000001,195076.51300000004,144461.22900000002,185709.221
,1220.0,Canada,16688.656,15555.756999999998,18336.648,18560.500000000004,20182.718999999997,17242.497,15068.27,13109.824999999999
,3310.0,Ecuador,11521.634,14451.735,19350.118,19728.897,11099.705000000002,10231.808,7205.426,15729.721
,,Other countries,24261.548000000068,33310.88400000008,43488.10800000001,48229.92000000016,29384.48400000017,34962.85300000012,28403.376999999862,16506.17100000009
,,"Total
 ",948811.647,1138167.0140000002,1398655.1060000001,1261969.053,1227879.681,1463336.926,1160925.297,1197391.2010000001
"1/ Countries are ranked by the sum of their trade for all full years shown. The last two columns contain data for the previous and current year to date.
2/ Canned, breaded, or otherwise prepared.
Source: U.S. Department of Commerce, Bureau of the Census.",,,,,,,,,,
Date run: 12/7/2018 10:51:19 AM,,,,,,,,,,
