"U.S. tilapia imports, volume by selected sources (1,000 pounds)",,,,,,,,,,
"Product, country code, and name 1/",,,2012,2013,2014,2015,2016,2017,Jan-Oct 17,Jan-Oct 18
Total,5700.0,China (Mainland),382277.77528588194,371000.562758784,380445.37945973995,368329.786664616,320167.64090808,294820.64321270393,239919.11130259803,234154.75891172403
,5830.0,China (Taiwan),27899.769192371998,40894.126521318,30170.785588524002,27339.621039234004,27309.166390926002,27107.805035934005,23345.972537076002,19591.933376988003
,5600.0,Indonesia,26383.379474465997,26076.454204248002,25591.574050812,22991.149649286002,17055.813389958003,15529.862226438001,12612.272085504,12033.799114302
,2150.0,Honduras,17618.320488636,18217.876260024004,22776.256324458005,21779.458533377998,20273.214485916,18090.506428596,16191.528813432,15651.215644428
,2230.0,Costa Rica,12575.688588036,14974.495898418,12027.030924762,11272.997289834,11140.298887031999,10928.518488468,9353.126471976,8365.51534077
,3010.0,Colombia,6402.921153174,8546.472919152,9128.431397736002,11883.271933385999,12032.383746978,13879.645339266,11459.839004334,12618.777925026001
,3310.0,Ecuador,18477.728441298,12494.212372782,5559.961885254,6458.1226834320005,4663.086381702,2890.4049470520004,2495.321252298,1631.689243884
,,Other countries,12008.761222247966,12493.38784415403,22784.768370000005,26028.281008925987,21964.26097252796,19651.98728026799,15805.669257125934,15727.698390851961
,,"Total
 ",503644.3438461119,504697.58877888,508484.188001286,496082.688802092,434605.8651631199,402899.37295872596,331182.84072434396,319775.38794797397
"Whole, frozen",5700.0,China (Mainland),51416.66827773,53633.243738214,54547.98990769801,59102.03348065801,63376.440594516,53064.102931938,42696.936320220004,49781.425183182
,5830.0,China (Taiwan),23018.733879749998,36063.05676170401,26762.012279856,22975.505651573996,23162.107062276,22652.041307112002,19494.841824108,17089.279551918
,5520.0,Vietnam,561.466517094,399.680331624,3710.259776412,6528.3310756440005,2802.7227208680006,3805.814707758,2855.99961612,2980.7018549279996
,5490.0,Thailand,1088.574000318,915.0504073200001,2136.3691075019997,1614.9826183680002,1855.5090831900004,1698.9809211900001,1450.9785831660001,1253.5458645780004
,2250.0,Panama,335.968960446,314.407757286,467.492299722,337.49455887000005,220.28362561800003,177.29570124000003,172.05531474600002,118.033257258
,5650.0,Philippines,326.83300687800005,204.097290894,5.657060051999999,2.462562774,609.78742209,47.399373,47.399373,
,5330.0,India,281.746282356,85.3188714,59.760688554,219.93309072,37.33527357,122.321247048,122.321247048,
,,Other countries,708.675741900006,482.4594784800138,211.20940146599605,280.392644447973,463.3784750699997,156.14676239399705,125.45621953200316,463.50193390199274
,,"Total
 ",77738.666666472,92097.314636922,87900.750521262,91061.135683056,92527.564257198,81724.10295168,66965.98849794001,71686.487645766
"Fillets, fresh",2150.0,Honduras,17199.75536496,18065.89623321,21585.143150298,19604.063207231997,19655.393421258,17395.448636790003,15617.782551798002,14461.233441354001
,2230.0,Costa Rica,12112.409320956001,14388.152426676,11412.437426712,10852.741221084,10768.753941372,10638.992095074002,9103.311934668001,7874.700344910001
,3010.0,Colombia,6279.021396773999,8513.260288722,9052.894434150001,11881.027628189999,12032.383746978,13860.98762328,11441.181288348,12572.774077752001
,3310.0,Ecuador,16246.002818429999,10723.378411368001,5374.149729228001,6266.679922818001,4546.512584208,2798.7720382439998,2432.848878684,1631.689243884
,2010.0,Mexico,10.000165392000001,3503.137744134,6870.276766332,4498.209316188,3233.7175033800004,5080.394870837999,4102.360617599999,2617.7328888480006
,5460.0,Myanmar (Burma),,,,1125.971003304,1469.65614075,1875.3617043,1511.80851339,1343.082177864
,3510.0,Brazil,24.266274354,148.69073079,123.89755177800001,312.584534892,1995.46951086,1422.4970715480001,1266.6060453060002,936.812231082
,,Other countries,3016.0684010520054,4783.639521905978,2592.2121845759902,2020.866756299998,1402.9266420539934,1276.3681115220024,912.8854685159968,2858.6209116780083
,,"Total
 ",54887.523741918005,60126.15535680599,57011.011243074,56562.143590008,55104.81349085999,54348.822151596,46388.78529831,44296.64531737201
"Fillets, frozen",5700.0,China (Mainland),330415.052452758,316915.043021892,325461.38145910203,308926.43867673,256618.69525592998,241654.01433465604,197158.15496412,184293.334610028
,5600.0,Indonesia,26265.187484423997,26016.792723684004,25591.574050812,22991.149649286002,17055.813389958003,15529.862226438001,12612.272085504,10954.971747846002
,5830.0,China (Taiwan),3857.8415823359996,3308.934796776,2393.7807722220005,4364.11538766,4132.257496542,4378.198512996,3773.565497142,2291.0079084480003
,5490.0,Thailand,5360.364227862,3213.957476394,3276.4166222760005,2542.936678254,1917.4236874380003,720.4440141360001,555.745523004,
,2010.0,Mexico,,47.604402846,2033.1024084,4667.116430718001,3890.3862123,1402.759090782,1079.585756424,3003.748973316
,2150.0,Honduras,418.56512367600004,151.980026814,1191.1131741600002,2175.395326146,617.821064658,695.0577918060001,573.746261634,1189.982203074
,5570.0,Malaysia,1538.629944642,278.754610302,714.6502675200002,678.00944988,1220.5073992860002,700.5671421840001,593.2130738940001,671.2346464740001
,,Other countries,3162.512622024049,2541.051726443984,2910.4074824579875,2114.2479303540895,1520.5829089500476,1745.5447424519807,1481.783766372013,1387.9748956500262
,,"Total
 ",371018.15343772207,352474.118785152,363572.42623695,348459.409529028,286973.48741506203,266826.44785545004,217828.06692809402,203792.254984836
"1/ Countries are ranked by the sum of their trade for all full years shown. The last two columns contain data for the previous and current year to date.
Source: Department of Commerce, Bureau of the Census.",,,,,,,,,,
Date run: 12/7/2018 10:51:24 AM,,,,,,,,,,
