Treatment,HOBO,"Date Time, GMT-04:00",TempF,Intensity
Control,p1,2016-03-26 12:00:00,86.823,1472
Control,p1,2016-03-26 12:15:00.000003,79.151,10240
Control,p1,2016-03-26 12:29:59.999997,94.062,16384
Control,p1,2016-03-26 12:45:00,105.161,14848
Control,p1,2016-03-26 13:00:00.000003,101.685,10240
Control,p1,2016-03-26 13:14:59.999997,107.47,15872
Control,p1,2016-03-26 13:30:00,104.54,17408
Control,p1,2016-03-26 13:45:00.000003,102.088,16384
Control,p1,2016-03-26 13:59:59.999997,88.466,3328
Control,p1,2016-03-26 14:15:00,67.906,4096
Control,p1,2016-03-26 14:30:00.000003,61.741,1664
Control,p1,2016-03-26 14:44:59.999997,76.006,8192
Control,p1,2016-03-26 15:00:00,90.124,13312
Control,p1,2016-03-26 15:15:00.000003,96.555,1024
Control,p1,2016-03-26 15:29:59.999997,89.755,16384
Control,p1,2016-03-26 15:45:00,64.481,864
Control,p1,2016-03-26 16:00:00.000003,60.712,2560
Control,p1,2016-03-26 16:14:59.999997,69.278,10752
Control,p1,2016-03-26 16:30:00,86.641,7680
Control,p1,2016-03-26 16:45:00.000003,74.964,7424
Control,p1,2016-03-26 16:59:59.999997,73.234,9216
Control,p1,2016-03-26 17:15:00,64.139,2048
Control,p1,2016-03-26 17:30:00.000003,59.851,3200
Control,p1,2016-03-26 17:44:59.999997,56.23,608
Control,p1,2016-03-26 18:00:00,52.401,1728
Control,p1,2016-03-26 18:15:00.000003,51.874,768
Control,p1,2016-03-26 18:29:59.999997,50.29,240
Control,p1,2016-03-26 18:45:00,48.871,144
Control,p1,2016-03-26 19:00:00.000003,47.982,45
Control,p1,2016-03-26 19:14:59.999997,47.266,7
Control,p1,2016-03-26 19:30:00,46.728,4
Control,p1,2016-03-26 19:45:00.000003,46.728,0
Control,p1,2016-03-26 19:59:59.999997,46.548,0
Control,p1,2016-03-26 20:15:00,46.548,0
Control,p1,2016-03-26 20:30:00.000003,46.548,0
Control,p1,2016-03-26 20:44:59.999997,46.369,0
Control,p1,2016-03-26 21:00:00,46.008,0
Control,p1,2016-03-26 21:15:00.000003,45.648,0
Control,p1,2016-03-26 21:29:59.999997,45.466,0
Control,p1,2016-03-26 21:45:00,45.648,0
Control,p1,2016-03-26 22:00:00.000003,46.008,0
Control,p1,2016-03-26 22:14:59.999997,45.648,0
Control,p1,2016-03-26 22:30:00,45.466,0
Control,p1,2016-03-26 22:45:00.000003,45.286,0
Control,p1,2016-03-26 22:59:59.999997,44.379,0
Control,p1,2016-03-26 23:15:00,44.56,0
Control,p1,2016-03-26 23:30:00.000003,44.56,0
Control,p1,2016-03-26 23:44:59.999997,44.195,0
Control,p1,2016-03-27 00:00:00,44.013,0
Control,p1,2016-03-27 00:15:00.000003,44.195,0
Control,p1,2016-03-27 00:29:59.999997,44.013,0
Control,p1,2016-03-27 00:45:00,43.648,0
Control,p1,2016-03-27 01:00:00.000003,44.922,0
Control,p1,2016-03-27 01:14:59.999997,45.828,0
Control,p1,2016-03-27 01:30:00,45.286,0
Control,p1,2016-03-27 01:45:00.000003,44.195,0
Control,p1,2016-03-27 01:59:59.999997,44.379,0
Control,p1,2016-03-27 02:15:00,44.922,0
Control,p1,2016-03-27 02:30:00.000003,42.548,0
Control,p1,2016-03-27 02:44:59.999997,41.625,0
Control,p1,2016-03-27 03:00:00,41.994,0
Control,p1,2016-03-27 03:15:00.000003,41.439,0
Control,p1,2016-03-27 03:29:59.999997,41.067,0
Control,p1,2016-03-27 03:45:00,43.466,0
Control,p1,2016-03-27 04:00:00.000003,44.742,0
Control,p1,2016-03-27 04:14:59.999997,44.013,0
Control,p1,2016-03-27 04:30:00,43.648,0
Control,p1,2016-03-27 04:45:00.000003,44.013,0
Control,p1,2016-03-27 04:59:59.999997,44.195,0
Control,p1,2016-03-27 05:15:00,44.379,0
Control,p1,2016-03-27 05:30:00.000003,45.104,0
Control,p1,2016-03-27 05:44:59.999997,45.648,0
Control,p1,2016-03-27 06:00:00,45.466,0
Control,p1,2016-03-27 06:15:00.000003,45.828,0
Control,p1,2016-03-27 06:29:59.999997,46.188,0
Control,p1,2016-03-27 06:45:00,46.008,24
Control,p1,2016-03-27 07:00:00.000003,45.648,48
Control,p1,2016-03-27 07:14:59.999997,45.648,128
Control,p1,2016-03-27 07:30:00,46.369,176
Control,p1,2016-03-27 07:45:00.000003,47.624,256
Control,p1,2016-03-27 07:59:59.999997,49.05,384
Control,p1,2016-03-27 08:15:00,50.113,800
Control,p1,2016-03-27 08:30:00.000003,52.225,864
