Cost/Benefit Analysis,,,,,,
Project,0.0,,,Project #,0.0,
Project manager,0.0,,,Sponsor,0.0,
Project artifacts,0.0,,,Updated,0.0,
,,,,,,
Project Development and Maintenance Costs,,,,,,
Description,FY01,FY02,FY03,FY04,FY05,Total
Cost of Project Development,,,,,,
Salaries,,,,,,
Other internal expenses,,,,,,
Consulting costs,,,,,,
Capital expenditures,,,,,,
Total project costs,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Support,,,,,,
Operational costs,,,,,,
Nonrecurring costs,,,,,,
Recurring costs,,,,,,
Total ongoing support costs,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,
Benefits/Savings,,,,,,
Current Process,FY01,FY02,FY03,FY04,FY05,Total
Total annual price,,,,,,
New Process,,,,,,
Total annual price,,,,,,
Annual savings,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative savings,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative costs,0.0,0.0,0.0,0.0,0.0,0.0
Cumulative total net savings,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,
Future Value,,,,,,
Present Value,Interest Rate,,# Periods,,Future Value,
,,,,,0.0,
,,,,,,
Present Value,,,,,,
Future Value,Interest Rate,,# Periods,,Present Value,
0.0,,,,,0.0,
,,,,,,
Net Present Value,,,,,,
Period,Cash Flow,,,,Present Value,
1.0,,,,,,
2.0,,,,,,
3.0,,,,,,
4.0,,,,,,
5.0,,,,,,
Totals,0.0,,,,0.0,
Project development cost,,,,,0.0,
Net present value,,,,,0.0,
