Resource Assignment Matrix,,,,,,,,,,,,,,,,,,,,
Project,,,0.0,,,,Project #,,,0.0,,,,,,,,,,
Project manager,,,0.0,,,,Sponsor,,,0.0,,,,,,,,,,
Project artifacts,,,0.0,,,,Updated,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Project Task,,,,Business End Users,Business Sponsor,IS Sponsor,Business Driver,Business Project Lead,Project Manager,Business Sys. Analyst,Data Modeler,DBA,Data Staging Designer,Educator,Appl'n Developer,Tech/Security Architect,Tech Support Specialist,Data Staging Programmer,Data Steward,QA Analyst
,Project Management and Requirements,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Initiation,,,,,,,,,,,,,,,,,,
1.0,,,Develop preliminary project scope,,,,,,,,,,,,,,,,,
2.0,,,Identify business need,,,,,,,,,,,,,,,,,
3.0,,,Develop preliminary budget,,,,,,,,,,,,,,,,,
4.0,,,Identify preliminary return on investment,,,,,,,,,,,,,,,,,
5.0,,,Complete project charter,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Planning,,,,,,,,,,,,,,,,,,
1.0,,,Establish project identity,,,,,,,,,,,,,,,,,
2.0,,,Identify project team/resources,,,,,,,,,,,,,,,,,
3.0,,,Conduct stakeholder analysis,,,,,,,,,,,,,,,,,
4.0,,,Prepare draft project schedule,,,,,,,,,,,,,,,,,
5.0,,,Conduct project kickoff meeting,,,,,,,,,,,,,,,,,
6.0,,,Gather detailed user requirements,,,,,,,,,,,,,,,,,
7.0,,,Define current business processes (as is),,,,,,,,,,,,,,,,,
8.0,,,Revise project schedule,,,,,,,,,,,,,,,,,
9.0,,,Develop project communication plan,,,,,,,,,,,,,,,,,
10.0,,,Develop project organizational structure,,,,,,,,,,,,,,,,,
11.0,,,Identify training plan,,,,,,,,,,,,,,,,,
12.0,,,Develop project quality plan,,,,,,,,,,,,,,,,,
13.0,,,Develop scope management plan,,,,,,,,,,,,,,,,,
14.0,,,Develop risk management plan,,,,,,,,,,,,,,,,,
15.0,,,Develop change management plan,,,,,,,,,,,,,,,,,
16.0,,,Develop cost management plan,,,,,,,,,,,,,,,,,
17.0,,,Develop schedule management plan,,,,,,,,,,,,,,,,,
18.0,,,Develop technical specifications,,,,,,,,,,,,,,,,,
19.0,,,Develop technical architecture,,,,,,,,,,,,,,,,,
20.0,,,Conduct project procurement,,,,,,,,,,,,,,,,,
21.0,,,Finalize project budget,,,,,,,,,,,,,,,,,
22.0,,,Finalize return on investment,,,,,,,,,,,,,,,,,
23.0,,,Ongoing project management,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Execution,,,,,,,,,,,,,,,,,,
1.0,,,Develop training materials,,,,,,,,,,,,,,,,,
2.0,,,Execute communication plan,,,,,,,,,,,,,,,,,
3.0,,,Develop software,,,,,,,,,,,,,,,,,
4.0,,,Develop new business processes (to be),,,,,,,,,,,,,,,,,
5.0,,,Deploy new software,,,,,,,,,,,,,,,,,
6.0,,,Conduct training,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Closing,,,,,,,,,,,,,,,,,,
1.0,,,Get deliverable acceptance,,,,,,,,,,,,,,,,,
2.0,,,Close out contracts,,,,,,,,,,,,,,,,,
3.0,,,Finalize budget,,,,,,,,,,,,,,,,,
4.0,,,Finalize return on investment,,,,,,,,,,,,,,,,,
5.0,,,Conduct closure survey,,,,,,,,,,,,,,,,,
6.0,,,Conduct/document lessons learned,,,,,,,,,,,,,,,,,
7.0,,,Archive project,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,
,Creates the deliverable,,,C1: primary creator; C2: contributor,,,,,,,,,,,,,,,,
,Input required,,,I,,,,,,,,,,,,,,,,
,Reviews the deliverable,,,R,,,,,,,,,,,,,,,,
,Approves the deliverable,,,A,,,,,,,,,,,,,,,,
,Notified when the deliverable is complete,,,N,,,,,,,,,,,,,,,,
,Owns the deliverable upon completion,,,O,,,,,,,,,,,,,,,,
